id,user,likes,dislikes,followers
1,lmalletratt0,598,605,18945
4,mmcsporrin3,597,2308,13069
5,htacker4,1153,2647,19003
8,pcucinotta7,3121,3132,18392
15,dlabese,1332,3063,15615
17,dgifkinsg,1615,2491,14574
21,emulqueenk,1509,1631,13501
29,gmerrgans,1547,2262,18475
32,nthurlbeckv,2395,3123,12196
34,nlearnedx,1404,2993,19903
37,loates10,686,1037,10434
40,rworsley13,1912,2607,13771
42,kitzakovitz15,725,3262,19486
49,mboycott1c,2880,3169,13374
56,mtithecott1j,1168,2884,18763
62,akemson1p,531,3086,10688
64,snoller1r,1313,2986,13880
71,tmckeaney1y,979,2748,17780
83,wjeavon2a,1638,2481,11012
89,cgrimsdell2g,576,3390,13599
91,wcluff2i,1150,2903,10416
